,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_supertren…(H,L,C,30)","Exit_supertren…(H,L,C,30)","Entry_ema(C[D],10)","Exit_ema(C[D],10)"
53,-4,2305,2345,22080.19921875,22068.099609375,,,48.3984375,0.0,0.000547984610787644,2024-03-13 11:15:00+05:30,2024-03-21 09:15:00+05:30,7 days 22:00:00,,22398.87652962399,21777.58675748514,22300.506284775714,22052.70092288091
54,4,2346,2443,22073.94921875,22360.30078125,,,1145.40625,0.0,0.012972375702340111,2024-03-21 10:15:00+05:30,2024-04-15 09:15:00+05:30,24 days 23:00:00,,21816.576964527303,22518.234220944047,22052.70092288091,22507.65206759209
55,-4,2444,2476,22361.900390625,22347.05078125,,,59.3984375,0.0,0.0006640584706846253,2024-04-15 10:15:00+05:30,2024-04-22 14:15:00+05:30,7 days 04:00:00,,22518.234220944047,22062.476320633148,22507.65206759209,22310.63365510402
56,4,2477,2529,22365.44921875,22476.55078125,,,444.40625,0.0,0.0049675533638222635,2024-04-22 15:15:00+05:30,2024-05-03 11:15:00+05:30,10 days 20:00:00,,22110.679844320377,22750.541199985368,22310.63365510402,22500.16128552997
57,-4,2530,2592,22415.150390625,22289.5,,,502.6015625,0.0,0.005605601052650178,2024-05-03 12:15:00+05:30,2024-05-16 11:15:00+05:30,12 days 23:00:00,,22700.40740477752,22035.039569221186,22500.16128552997,22245.211728349987
58,4,2595,2653,22403.25,22558.80078125,,,622.203125,0.0,0.0069432239184046285,2024-05-16 14:15:00+05:30,2024-05-30 09:15:00+05:30,13 days 19:00:00,,21944.43857526444,22843.881323809503,22245.211728349987,22687.059964718723
59,-4,2654,2667,22564.75,23197.099609375,,,-2529.3984375,0.0,-0.02802378086949786,2024-05-30 10:15:00+05:30,2024-06-03 09:15:00+05:30,3 days 23:00:00,,22799.871835672104,22903.36095110359,22687.059964718723,22642.434156392286
60,4,2668,2675,23175.30078125,22095.099609375,,,-4320.8046875,0.0,-0.04661001736594239,2024-06-03 10:15:00+05:30,2024-06-04 10:15:00+05:30,1 days 00:00:00,,22903.36095110359,22849.319959640605,22642.434156392286,22763.073258639142
61,-4,2676,2686,21591.900390625,22636.05078125,,,-4176.6015625,0.0,-0.048358429398755565,2024-06-04 11:15:00+05:30,2024-06-05 14:15:00+05:30,1 days 03:00:00,,22386.86066150675,21921.242490623277,22763.073258639142,22623.68706956839
62,4,2688,2905,22786.849609375,24449.150390625,,,6649.203125,0.0,0.0729500044870659,2024-06-06 09:15:00+05:30,2024-07-23 09:15:00+05:30,47 days 00:00:00,,22102.474461854294,24688.742096711525,22614.42578419232,24472.363210276508
63,-4,2907,2926,24469.30078125,24578.69921875,,,-437.59375,0.0,-0.004470844446189837,2024-07-23 11:15:00+05:30,2024-07-26 09:15:00+05:30,2 days 22:00:00,,24688.742096711525,24231.24952271219,24472.363210276508,24457.893253881724
64,4,2927,2966,24644.80078125,24727.900390625,,,332.3984375,0.0,0.0033718921127665613,2024-07-26 10:15:00+05:30,2024-08-02 14:15:00+05:30,7 days 04:00:00,,24343.694493048868,24971.260930092067,24457.893253881724,24751.767183260425
65,-4,2967,3004,24699.44921875,24434.80078125,,,1058.59375,0.0,0.010714750566142128,2024-08-02 15:15:00+05:30,2024-08-12 10:15:00+05:30,9 days 19:00:00,,24943.600018880665,24064.138506814154,24751.767183260425,24398.944398377713
66,4,3006,3129,24404.650390625,24921.099609375,,,2065.796875,0.0,0.0211619183427596,2024-08-12 12:15:00+05:30,2024-09-06 09:15:00+05:30,24 days 21:00:00,,24117.22060723072,25200.59850492938,24398.944398377713,25085.556602835022
67,-4,3130,3146,24867.0,25098.55078125,,,-926.203125,0.0,-0.009311568795994596,2024-09-06 10:15:00+05:30,2024-09-10 12:15:00+05:30,4 days 02:00:00,,25084.864134192154,24864.06109939862,25085.556602835022,25027.21144487303
68,4,3147,3155,25114.0,24900.650390625,,,-853.3984375,0.0,-0.00849524605299834,2024-09-10 13:15:00+05:30,2024-09-11 14:15:00+05:30,1 days 01:00:00,,24914.842916918664,25132.315229945347,25027.21144487303,25031.73656569157
69,-4,3156,3161,24951.80078125,25204.69921875,,,-1011.59375,0.0,-0.01013547838559381,2024-09-11 15:15:00+05:30,2024-09-12 13:15:00+05:30,0 days 22:00:00,,25130.491375926336,24876.238542935625,25031.73656569157,25017.202786702193
70,4,3162,3246,25414.94921875,25812.25,,,1589.203125,0.0,0.01563256246669531,2024-09-12 14:15:00+05:30,2024-09-30 14:15:00+05:30,18 days 00:00:00,,25075.693970410688,26035.451758608135,25017.202786702193,25820.667084289224
